index,cell_id,DL_TRAFFIC_VOLUME,UL_TRAFFIC_VOLUME,INTRA_FREQ_HO_SR_RATIO,RRC_SR_RATIO,CELL_AVAILABILITY_RATIO,UL_THROUGHPUT_RATIO,DCR_LTE_RATIO,CSSR_LTE_RATIO,DL_THROUGHPUT_RATIO,HOUR
2021-05-09 00:00:00,3.8447326973958944e+17,303194439968.0,23447177520.0,0.9743589743589745,1.0,1.0,3.5593064723854,0.003234675723758693,0.9996858309770656,6.652323658473216,0
2021-05-09 01:00:00,3.8447326973958944e+17,297169308568.0,22327759056.0,1.0,1.0,1.0,3.30412690637986,0.0028373825146302536,1.0,7.3330000995685385,1
2021-05-09 02:00:00,3.8447326973958944e+17,316511034280.0,23094936016.0,1.0,0.9995761813943632,1.0,3.8099406392612103,0.0010464942442816563,0.9989761591341232,6.628620805695388,2
2021-05-09 03:00:00,3.8447326973958944e+17,314825969504.0,25688857512.0,1.0,1.0,1.0,3.397448256611757,0.0014885382554331644,0.9994132316268152,4.722829417068421,3
2021-05-09 04:00:00,3.8447326973958944e+17,309609490872.0,30538613784.0,1.0,1.0,1.0,4.6253256801169504,0.000949667616334283,0.9998454882571076,6.137517681947722,4
2021-05-09 05:00:00,3.8447326973958944e+17,336461687528.0,23548709824.0,1.0,1.0,1.0,3.0985799969090717,0.0012066885019824168,0.9993349958437242,5.134002490073507,5
2021-05-09 06:00:00,3.8447326973958944e+17,339536947680.0,23482091264.0,1.0,0.9995242626070407,1.0,3.1355389677895187,0.0008588114050154586,0.9989842559674962,5.1446784042165135,6
2021-05-09 07:00:00,3.8447326973958944e+17,339582428656.0,19905082624.0,0.9285714285714286,0.9997516761857462,1.0,2.770253315999913,0.0008671522719389525,0.999315888489824,6.0530668457410775,7
2021-05-09 08:00:00,3.8447326973958944e+17,317339226392.0,12812168920.0,1.0,0.9991915925626516,1.0,2.6266663932498537,0.00037671877943115466,0.9996281145407214,13.224128293674914,8
2021-05-09 09:00:00,3.8447326973958944e+17,244308827392.0,13123202496.0,1.0,0.9994849343291271,1.0,3.0810596204531957,0.0007396449704142013,1.0,20.516746106697504,9
2021-05-09 10:00:00,3.8447326973958944e+17,144920040008.0,7052249680.0,1.0,1.0,1.0,2.6977862043250207,0.0003824091778202677,0.9996217136372234,27.904505636921158,10
2021-05-09 11:00:00,3.8447326973958944e+17,185625312536.0,18351276336.0,1.0,1.0,1.0,5.397131062793575,0.00019928258270227186,1.0,27.572316586724824,11
