index,cell_id,DL_TRAFFIC_VOLUME,UL_TRAFFIC_VOLUME,Inter_X2_based_HO_prep,VoLTE_total_traffic,INTRA_FREQ_HO_SR_RATIO,RRC_SR_RATIO,CELL_AVAILABILITY_RATIO,RACH_Stp_Completion_SR_RATIO,E_RAB_QCI1_DR_RATIO,DCR_LTE_RATIO,CSSR_LTE_RATIO,LTE_INTER_ENODEB_HOSR_RATIO,Inter_RAT_HO_SR_GERAN_SRVCC_RATIO,Inter_RAT_Total_HO_SR_RATIO,E_UTRAN_tot_HO_SR_inter_eNB_X2_RATIO,HOUR
2021-05-09 00:00:00,4.262775046883192e+17,37706587575.0,4053220721.0,522.0,7433.0,0.9263157894736842,0.9999368188279892,1.0,0.9561268763306114,0.005780346820809247,0.001865145633173567,0.999355697779305,0.9961685823754788,1.0,0.7,0.9961685823754788,0
2021-05-09 01:00:00,4.262775046883192e+17,38402210565.0,4654759202.0,522.0,5125.0,0.3726461843409316,0.9996647363608656,1.0,0.9588488221794296,0.006578947368421052,0.0011781240957380846,0.998937040065413,0.9961685823754788,1.0,0.7647058823529411,0.9961685823754788,1
2021-05-09 02:00:00,4.262775046883192e+17,37737349164.0,4695686124.0,461.0,8573.0,0.7790143084260731,0.9997618723635868,1.0,0.9577552472429742,0.0,0.0007993787684999088,0.9988527466594682,0.9956616052060736,1.0,1.0,0.9956616052060736,2
2021-05-09 03:00:00,4.262775046883192e+17,35313635981.0,4107166086.0,532.0,7588.0,0.9876543209876544,0.9999657029186816,1.0,0.9485710876439352,0.0,0.0007212657049790602,0.9993595315430716,0.9943609022556392,1.0,1.0,0.9943609022556392,3
2021-05-09 04:00:00,4.262775046883192e+17,30847065628.0,3758099567.0,423.0,3820.0,0.979683972911964,0.9996189605243104,1.0,0.9627071364526948,0.0,0.0009950509308963313,0.993878800244848,0.9880382775119616,1.0,0.6666666666666666,0.9763593380614656,4
2021-05-09 05:00:00,4.262775046883192e+17,27873406450.0,3601820392.0,434.0,1939.0,1.0,0.9998645108842924,1.0,0.9489062439289738,0.0,0.0007479198479229643,0.9939852773954156,0.9884057971014492,0.9,0.8181818181818182,0.7857142857142857,5
2021-05-09 06:00:00,4.262775046883192e+17,33797794581.0,3658898249.0,318.0,600.0,0.9750778816199376,0.9997754827121688,1.0,0.9496994621955076,0.0,0.0007770455003309638,0.9995150477820568,0.9968553459119496,1.0,0.75,0.9968553459119496,6
2021-05-09 07:00:00,4.262775046883192e+17,35923823334.0,2654367145.0,168.0,2013.0,1.0,1.0,1.0,0.9871070367114572,0.0,0.0003591309032142216,0.9988068961403092,0.9821428571428572,1.0,1.0,0.9821428571428572,7
2021-05-09 08:00:00,4.262775046883192e+17,36232949318.0,3043295371.0,167.0,421.0,1.0,0.9992538357505946,1.0,0.9834619625137816,0.0,0.0003247174957786725,0.9994856463175492,0.994011976047904,1.0,1.0,0.994011976047904,8
2021-05-09 09:00:00,4.262775046883192e+17,34532550296.0,2680531851.0,160.0,651.0,1.0,0.9998128304711992,1.0,0.972963781669784,0.0,0.0001940742657523612,0.9994522666494828,1.0,1.0,1.0,1.0,9
2021-05-09 10:00:00,4.262775046883192e+17,32738184123.0,1629327863.0,124.0,212.0,1.0,0.9997631454287068,1.0,0.9672556737291684,0.0,0.00034302963776070255,0.999217474142624,1.0,0.9825252632244289,0.8732727762059181,1.0,10
2021-05-09 11:00:00,4.262775046883192e+17,36274688417.0,1686004921.0,96.0,1371.0,0.8769230769230769,0.9997137541147846,1.0,0.982026501071413,0.0,0.00024919013207077,0.999789088863892,1.0,1.0,1.0,1.0,11
2021-05-09 12:00:00,4.262775046883192e+17,28750080283.0,1555084312.0,94.0,3085.0,0.7957244655581948,0.9997030375021212,1.0,0.9924189948433771,0.0,0.0004941779658399481,0.9995442530307174,0.9574468085106383,1.0,1.0,0.9574468085106383,12
2021-05-09 13:00:00,4.262775046883192e+17,26765331252.0,1521756707.0,101.0,1168.0,0.8452914798206278,0.9998403575989784,1.0,0.9790744466800804,0.0,0.0006609575262946148,0.99980177833154,1.0,1.0,0.8,1.0,13
2021-05-09 14:00:00,4.262775046883192e+17,28241226135.0,2525555148.0,114.0,3043.0,0.9812206572769951,0.9998783010831204,1.0,0.9857369255150554,0.0,0.0006247768654052124,0.9989082969432316,1.0,1.0,1.0,1.0,14
2021-05-09 15:00:00,4.262775046883192e+17,27042057809.0,4066226219.0,170.0,1829.0,0.9848484848484848,0.9997630331753554,1.0,0.9499135856857229,0.0,0.00035126749019378264,0.9993594596168404,0.9941176470588236,1.0,1.0,0.9941176470588236,15
