index,cell_id,DL_TRAFFIC_VOLUME,UL_TRAFFIC_VOLUME,Inter_X2_based_HO_prep,VoLTE_total_traffic,INTRA_FREQ_HO_SR_RATIO,RRC_SR_RATIO,CELL_AVAILABILITY_RATIO,RACH_Stp_Completion_SR_RATIO,E_RAB_QCI1_DR_RATIO,DCR_LTE_RATIO,CSSR_LTE_RATIO,LTE_INTER_ENODEB_HOSR_RATIO,Inter_RAT_HO_SR_GERAN_SRVCC_RATIO,Inter_RAT_Total_HO_SR_RATIO,HOUR
2021-05-09 23:00:00,7.315874467898523e+16,29843507168.0,2991643266.0,34.0,3638.0,1.0,0.9998051631758402,1.0,0.9998122946973252,0.0,0.00024541382906926803,0.9998160750413831,1.0,1.0,1.0,23
2021-05-10 00:00:00,7.315874467898523e+16,32375413183.0,3416970628.0,28.0,3794.0,1.0,0.9997235787339906,1.0,0.9910850968032416,0.008403361344537815,0.000635287323130234,0.9998847328684226,1.0,1.0,0.8333333333333334,0
2021-05-10 01:00:00,7.315874467898523e+16,32955647947.0,1926690362.0,24.0,3627.0,1.0,1.000094029149036,1.0,0.9999076297801588,0.012195121951219513,0.0005273025544879306,1.0,1.0,1.0,0.8571428571428571,1
2021-05-10 02:00:00,7.315874467898523e+16,33783197148.0,2733575520.0,11.0,4743.0,1.0,0.9999188377566756,1.0,1.0,0.0,0.0,0.999899142713061,1.0,1.0,1.0,2
2021-05-10 03:00:00,7.315874467898523e+16,34489512153.0,2746266930.0,17.0,2945.0,1.0,1.0,1.0,1.0,0.0,0.00014809695413930986,1.0,1.0,1.0,1.0,3
2021-05-10 04:00:00,7.315874467898523e+16,34910413678.0,4013120187.0,9.0,3731.0,1.0,1.0,1.0,0.9868854808657016,0.0,0.0003200292598180405,0.9997713554051584,1.0,1.0,0.8,4
2021-05-10 05:00:00,7.315874467898523e+16,34155299524.0,3126724144.0,21.0,5389.0,1.0,1.0,1.0,0.9724974123909508,0.0,0.0007909306617453202,0.999526066350711,1.0,0.9971291866028706,0.9583728852778487,5
2021-05-10 06:00:00,7.315874467898523e+16,35615243874.0,4304115254.0,13.0,2748.0,1.0,1.0,1.0,0.9749011676013608,0.0,0.0002565747273893522,0.9997435733059812,1.0,1.0,1.0,6
2021-05-10 07:00:00,7.315874467898523e+16,31383622876.0,3688357291.0,15.0,3542.0,1.0,0.9999035679845708,1.0,0.984029484029484,0.0,0.0007172314864622557,0.9998206706916134,1.0,0.9971291866028706,0.9583728852778487,7
2021-05-10 08:00:00,7.315874467898523e+16,26854559754.0,2250593113.0,7.0,3746.0,1.0,1.0,1.0,0.9761591725830484,0.0,0.0009982384028185557,0.99976495475379,1.0,0.9971291866028706,0.9583728852778487,8
2021-05-10 09:00:00,7.315874467898523e+16,23431594115.0,2200122646.0,9.0,439.0,1.0,1.0,1.0,0.9771816471742863,0.0,0.0006773920406435225,0.9998304701627486,1.0,0.9971291866028706,0.9583728852778487,9
2021-05-10 10:00:00,7.315874467898523e+16,21569856105.0,3693794835.0,13.0,41.0,1.0,1.0,1.0,0.9920648761771887,0.0,0.0005547679220859273,0.9999382754150978,1.0,0.9971291866028706,0.9583728852778487,10
2021-05-10 11:00:00,7.315874467898523e+16,22235073813.0,789384182.0,11.0,31.0,1.0,1.0,1.0,0.9920188940467464,0.0,0.0005122659229324379,0.9994879672299029,1.0,0.9971291866028706,0.9583728852778487,11
2021-05-10 12:00:00,7.315874467898523e+16,19326350527.0,926267201.0,14.0,579.0,1.0,1.0,1.0,0.9926291916410174,0.0,0.0004988360492184902,0.9998338686454756,1.0,1.0,1.0,12
2021-05-10 13:00:00,7.315874467898523e+16,26190149261.0,1876320010.0,2.0,1388.0,1.0,1.0,1.0,1.0,0.0,0.0006412872383839563,0.9998253478488676,1.0,1.0,1.0,13
2021-05-10 14:00:00,7.315874467898523e+16,35744023319.0,1774106394.0,6.0,768.0,1.0,1.0,1.0,0.9917770671539516,0.0,0.00025416190113102053,0.9998726925525144,1.0,1.0,1.0,14
2021-05-10 15:00:00,7.315874467898523e+16,24631038475.0,874549510.0,9.0,1434.0,1.0,1.0,1.0,0.9722305389221556,0.0,0.00039405539292952034,0.9998874634256132,1.0,0.9971291866028706,0.9583728852778487,15
2021-05-10 16:00:00,7.315874467898523e+16,30815495536.0,1824274466.0,17.0,6051.0,1.0,0.9999092229484386,1.0,0.9923864101514532,0.0,0.0007017954266331363,0.9991832924979582,1.0,1.0,1.0,16
2021-05-10 17:00:00,7.315874467898523e+16,25688347268.0,4896853091.0,19.0,3749.0,0.9285714285714286,1.0,1.0,0.9852231835234668,0.0,0.0005863852017698171,0.9995212511303792,1.0,1.0,1.0,17
2021-05-10 18:00:00,7.315874467898523e+16,23648033283.0,1248842845.0,19.0,3478.0,1.0,1.0,1.0,0.9869692847426076,0.0,0.000626687234863093,0.9997589315847838,1.0,0.9971291866028706,1.0,18
2021-05-10 19:00:00,7.315874467898523e+16,30504073295.0,1972213366.0,14.0,4584.0,1.0,1.0,1.0,0.9811858996128506,0.0,0.0009338376056403793,0.9996741761310742,1.0,1.0,1.0,19
