index,cell_id,DL_TRAFFIC_VOLUME,UL_TRAFFIC_VOLUME,INTRA_FREQ_HO_SR_RATIO,RRC_SR_RATIO,CELL_AVAILABILITY_RATIO,UL_THROUGHPUT_RATIO,DCR_LTE_RATIO,CSSR_LTE_RATIO,LTE_INTER_ENODEB_HOSR_RATIO,DL_THROUGHPUT_RATIO,HOUR
2021-05-09 00:00:00,9.10621795573706e+16,234363612064.0,25500410792.0,0.9864864864864864,0.9996159754224272,1.0,2.490771151173794,0.0014469162597214686,0.9817819033573351,0.875,3.3435403724372703,0
2021-05-09 01:00:00,9.10621795573706e+16,262245389680.0,21414329584.0,0.9846153846153848,1.0,1.0,1.6739120703905053,0.0019343986543313711,0.9797117784397392,0.8461538461538461,3.6627633371706207,1
2021-05-09 02:00:00,9.10621795573706e+16,243126571984.0,19287709120.0,1.0,0.9993990384615384,1.0,1.8386931408631202,0.0019158683881715954,0.9894583198183587,0.8823529411764706,3.852946327569116,2
2021-05-09 03:00:00,9.10621795573706e+16,236221319872.0,25469562456.0,1.0,1.0,1.0,2.7411977459453394,0.0008133755083596927,0.9877214523767759,0.5652173913043478,3.733220206610625,3
2021-05-09 04:00:00,9.10621795573706e+16,248872710648.0,23579520528.0,1.0,0.99985121261717,1.0,2.500715729152028,0.0007079288025889968,0.9884238646482636,0.9565217391304348,3.5547897064541036,4
2021-05-09 05:00:00,9.10621795573706e+16,276120496592.0,26906390864.0,0.96875,1.0,1.0,2.7496147594903397,0.0011234552490325801,0.9753712423035132,0.5555555555555556,3.629668845312924,5
2021-05-09 06:00:00,9.10621795573706e+16,250992972072.0,22347339328.0,1.0,1.0,1.0,2.7756154622124702,0.00115547567081782,0.9731502103439744,0.375,4.779963228187267,6
2021-05-09 07:00:00,9.10621795573706e+16,197979666040.0,22926421760.0,1.0,0.9996805622105096,1.0,2.9757194152571738,0.0015826362197603435,0.9872533806251386,0.7826086956521741,5.1232816266029815,7
2021-05-09 08:00:00,9.10621795573706e+16,222772924688.0,16556302960.0,1.0,0.999381188118812,1.0,2.9226935284538573,0.0005594718585655141,0.9887973640856672,0.3333333333333333,9.465561862161818,8
2021-05-09 09:00:00,9.10621795573706e+16,146445533640.0,8805639248.0,0.9333333333333332,0.998521366257578,1.0,1.6176830816976078,0.0005240540823813019,0.9947122861586314,0.7333333333333333,11.0777908530778,9
2021-05-09 10:00:00,9.10621795573706e+16,170408119928.0,11240113240.0,1.0,0.9996944699052857,1.0,2.2537315049587883,0.001092776745710851,0.9861394649188784,0.3333333333333333,11.500172634200899,10
2021-05-09 11:00:00,9.10621795573706e+16,151503744792.0,7483260944.0,1.0,0.9997100608872136,1.0,1.5879284071688793,0.0009182736455463727,0.9860567760056174,0.6923076923076923,15.185165174687329,11
2021-05-09 12:00:00,9.10621795573706e+16,178849702248.0,9373038744.0,1.0,1.0,1.0,1.6981018380518915,0.00020496003279360525,0.978958915037894,0.5714285714285714,16.376997661900358,12
2021-05-09 13:00:00,9.10621795573706e+16,180614610816.0,13666283344.0,1.0,0.9998513895080992,1.0,2.1179502711197857,0.0011506276150627616,0.9931606217616579,0.3333333333333333,14.837310866436114,13
2021-05-09 14:00:00,9.10621795573706e+16,171418875432.0,10508444656.0,1.0,1.0,1.0,1.7443619693241983,0.0005210504376823677,0.9934115709285568,0.3928571428571429,14.120853151226505,14
2021-05-09 15:00:00,9.10621795573706e+16,190902741488.0,9171346880.0,1.0,0.9997396850188728,1.0,1.5188594059410978,0.0012933025404157045,0.989720731374511,0.5384615384615384,13.313918153925322,15
2021-05-09 16:00:00,9.10621795573706e+16,206707061032.0,18919331080.0,0.9696969696969696,0.9998731447418496,1.0,1.8348945563877803,0.0006255585344057192,0.9859241126070992,0.4230769230769231,10.088112997189569,16
2021-05-09 17:00:00,9.10621795573706e+16,228565547576.0,30128280216.0,1.0,0.9997403608983512,1.0,3.0309726557043333,0.0012802926383173295,0.9844642857142856,0.28125,11.70864275925468,17
2021-05-09 18:00:00,9.10621795573706e+16,187864246280.0,16029518272.0,1.0,0.9991902834008096,1.0,2.0427508406833725,0.0011940773762139786,0.9853238080447274,0.5384615384615384,10.591152225089607,18
2021-05-09 19:00:00,9.10621795573706e+16,247800839432.0,19041207144.0,1.0,0.9992406985573272,1.0,1.8919107763082923,0.003943758573388203,0.9900651193855402,0.6,3.602352011703226,19
2021-05-09 20:00:00,9.10621795573706e+16,239280228904.0,26401027248.0,1.0,0.9994010541447054,1.0,2.347277825568708,0.003955895968352832,0.9792226839403568,0.4444444444444444,3.816799804368716,20
2021-05-09 21:00:00,9.10621795573706e+16,262534233464.0,22198937904.0,1.0,0.9997602780774302,1.0,1.6810303913140374,0.003483136521960751,0.9862751622026286,0.5357142857142857,3.4526571694333144,21
2021-05-09 22:00:00,9.10621795573706e+16,233162150632.0,20681968376.0,0.9883720930232558,0.9992673098058372,1.0,1.7122469071008124,0.005155540020971688,0.976847954201044,0.2978723404255319,3.7419467768590073,22
2021-05-09 23:00:00,9.10621795573706e+16,193146703096.0,21448628760.0,1.0,0.9995361781076066,1.0,1.8678510393324208,0.0015609595793624712,0.9747346744812292,0.4761904761904762,2.730982278731956,23
2021-05-10 00:00:00,9.10621795573706e+16,257655935624.0,33566246344.0,1.0,0.9997630050953904,1.0,3.239398104353425,0.002393134180557848,0.9830481368942908,0.525,3.900004500088287,0
2021-05-10 01:00:00,9.10621795573706e+16,269128691128.0,19052275224.0,1.0,0.9991129134456976,1.0,1.9439946449471883,0.0041185423941266005,0.9766905737704918,0.2413793103448276,3.6857958936653072,1
